t NoGP OffGP ET TT 
3.7300000000 0.2165130363 0.1321420054 0.0288975470 0.0290253339 
3.7400000000 0.2165555087 0.1323674240 0.0287193315 0.0287339069 
3.7500000000 0.2166110175 0.1325986067 0.0285341648 0.0284527374 
3.7600000000 0.2166792408 0.1328384423 0.0283418613 0.0281531019 
3.7700000000 0.2167601311 0.1330826356 0.0281487595 0.0278637000 
3.7800000000 0.2168534141 0.1333361706 0.0279482824 0.0275661082 
3.7900000000 0.2169589821 0.1335937935 0.0277403388 0.0272499486 
3.8000000000 0.2170767240 0.1338577594 0.0275104754 0.0269441229 
3.8100000000 0.2172060648 0.1341238967 0.0272730718 0.0267180273 
3.8200000000 0.2173471603 0.1343915460 0.0270346521 0.0264838276 
3.8300000000 0.2174998878 0.1346590257 0.0267886083 0.0262411664 
3.8400000000 0.2176641218 0.1349275486 0.0265525611 0.0260085183 
3.8500000000 0.2178379127 0.1352015498 0.0262977209 0.0257568218 
3.8600000000 0.2180208638 0.1354748001 0.0260528760 0.0255149806 
